[INFO] 2019-09-19 11:20:56,942 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:206 - [InputOrder-SaveOrderEnd] Order{id=2283, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1381', price=3.61, quantity=5000, amount=18050.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:56,986 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:203 - [InputOrder-SaveOrderStart] Order{id=null, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1382', price=5.32, quantity=4000, amount=21280.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,004 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:206 - [InputOrder-SaveOrderEnd] Order{id=2284, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1382', price=5.32, quantity=4000, amount=21280.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,065 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:203 - [InputOrder-SaveOrderStart] Order{id=null, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1398', price=5.26, quantity=4000, amount=21040.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,120 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:206 - [InputOrder-SaveOrderEnd] Order{id=2285, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1398', price=5.26, quantity=4000, amount=21040.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,143 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:203 - [InputOrder-SaveOrderStart] Order{id=null, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_148', price=21.45, quantity=1000, amount=21450.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,187 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:206 - [InputOrder-SaveOrderEnd] Order{id=2286, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_148', price=21.45, quantity=1000, amount=21450.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,205 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:203 - [InputOrder-SaveOrderStart] Order{id=null, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1513', price=20.75, quantity=900, amount=18675.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,276 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:206 - [InputOrder-SaveOrderEnd] Order{id=2287, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1513', price=20.75, quantity=900, amount=18675.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
[INFO] 2019-09-19 11:20:57,296 T-http-nio-5565-exec-3:com.magnumresearch.aqumon.trading.service.TradingService:203 - [InputOrder-SaveOrderStart] Order{id=null, localId='string', batchId='1iusoloa5z885', extOrderId='null', brokerId=1, brokerAccount='DU1607937', subAccount='null', iaccountId=0, portfolioId=0, direction=BUY, offsetFlag=UNKONWN, hedgeFlag=UNKONWN, iuid='HK_10_1515', price=5.08, quantity=3500, amount=17780.00, priceType=LIMIT, status=CREATE, remark='null', filledPrice=0, filledQuantity=0, filledAmount=0, commission=0, source='string', placeTime=null, advisingType=0}
